session_date,n_bars,n_valid_z1,n_ev_k1,n_ev_k3
2020-08-21,1364,1363,15,10
2020-08-24,1365,1364,6,1
2020-08-25,1365,1364,12,4
2020-08-26,1364,1363,1,4
2020-08-27,1365,1364,36,40
2020-08-28,1365,1364,31,20
2020-08-31,1365,1364,8,9
2020-09-01,1365,1364,23,18
2020-09-02,1365,1364,29,17
2020-09-03,1365,1364,175,171
2020-09-04,1365,1364,349,317
2020-09-07,1140,1139,148,145
2020-09-08,1365,1364,253,223
2020-09-09,1365,1364,175,169
2020-09-10,1365,1364,233,220
2020-09-11,1365,1364,176,125
2020-09-14,1365,1364,63,55
2020-09-15,1365,1364,27,19
2020-09-16,1365,1364,44,46
2020-09-17,1365,1364,181,166
2020-09-18,1365,1364,108,110
2020-09-21,1365,1364,189,192
2020-09-22,1365,1364,101,98
2020-09-23,1365,1364,94,102
2020-09-24,1365,1364,232,227
2020-09-25,1365,1364,120,95
2020-09-28,1365,1364,48,30
2020-09-29,1365,1364,37,29
2020-09-30,1365,1364,178,165
2020-10-01,1365,1364,107,73
2020-10-02,1365,1364,229,209
2020-10-05,1365,1364,42,37
2020-10-06,1365,1364,74,86
2020-10-07,1365,1364,76,75
2020-10-08,1365,1364,27,26
2020-10-09,1365,1364,21,8
2020-10-12,1365,1364,29,26
2020-10-13,1365,1364,69,69
2020-10-14,1364,1363,79,60
2020-10-15,1365,1364,112,94
2020-10-16,1365,1364,43,43
2020-10-19,1365,1364,50,31
2020-10-20,1365,1364,92,78
2020-10-21,1365,1364,90,91
2020-10-22,1365,1364,90,82
2020-10-23,1365,1364,42,33
2020-10-26,1364,1363,69,56
2020-10-27,1365,1364,50,53
2020-10-28,1364,1363,124,104
2020-10-29,1365,1364,161,161
2020-10-30,1365,1364,227,228
2020-11-02,1365,1364,174,171
2020-11-03,1365,1364,80,68
2020-11-04,1365,1364,565,543
2020-11-05,1365,1364,193,198
2020-11-06,1365,1364,177,143
2020-11-09,1365,1364,240,222
2020-11-10,1365,1364,237,211
2020-11-11,1365,1364,105,86
2020-11-12,1365,1364,78,76
2020-11-13,1365,1364,42,38
2020-11-16,1365,1364,49,42
2020-11-17,1365,1364,21,14
2020-11-18,1365,1364,44,29
2020-11-19,1365,1364,49,50
2020-11-20,1365,1364,30,16
2020-11-23,1365,1364,18,14
2020-11-24,1365,1364,22,19
2020-11-25,1365,1364,36,26
2020-11-26,1137,1136,6,2
2020-11-27,1155,1154,6,1
2020-11-30,1365,1364,39,40
2020-12-01,1365,1364,15,5
2020-12-02,1365,1364,18,8
2020-12-03,1365,1364,9,9
2020-12-04,1365,1364,4,0
2020-12-07,1365,1364,12,9
2020-12-08,1365,1364,8,7
2020-12-09,1365,1364,26,18
2020-12-10,1365,1364,26,19
2020-12-11,1365,1364,48,26
2020-12-14,1365,1364,18,7
2020-12-15,1365,1364,16,17
2020-12-16,1365,1364,7,6
2020-12-17,1365,1364,5,2
2020-12-18,1365,1364,27,21
2020-12-21,1365,1364,160,155
2020-12-22,1365,1364,64,47
2020-12-23,1365,1364,48,53
2020-12-24,1152,1151,11,4
2020-12-28,1365,1364,15,14
2020-12-29,1365,1364,5,10
2020-12-30,1365,1364,14,9
2020-12-31,1360,1359,11,8
2021-01-04,1364,1363,101,82
2021-01-05,1365,1364,118,99
2021-01-06,1365,1364,296,274
2021-01-07,1365,1364,82,60
2021-01-08,1365,1364,78,57
2021-01-11,1365,1364,100,71
2021-01-12,1365,1364,65,58
2021-01-13,1365,1364,40,30
2021-01-14,1364,1363,32,18
2021-01-15,1365,1364,86,79
2021-01-18,1140,1139,24,16
2021-01-19,1365,1364,27,18
2021-01-20,1365,1364,19,16
2021-01-21,1364,1363,22,17
2021-01-22,1365,1364,43,30
2021-01-25,1365,1364,75,69
2021-01-26,1365,1364,45,36
2021-01-27,1365,1364,199,189
2021-01-28,1365,1364,324,299
2021-01-29,1365,1364,385,390
2021-02-01,1365,1364,199,177
2021-02-02,1365,1364,89,69
2021-02-03,1365,1364,49,39
2021-02-04,1365,1364,42,31
2021-02-05,1365,1364,21,14
2021-02-08,1365,1364,12,11
2021-02-09,1365,1364,7,9
2021-02-10,1365,1364,44,47
2021-02-11,1365,1364,36,31
2021-02-12,1365,1364,16,16
2021-02-15,1138,1137,1,3
2021-02-16,1365,1364,36,33
2021-02-17,1365,1364,74,64
2021-02-18,1365,1364,92,76
2021-02-19,1365,1364,67,67
2021-02-22,1365,1364,138,138
2021-02-23,1365,1364,207,209
2021-02-24,1365,1364,207,201
2021-02-25,1365,1364,214,213
2021-02-26,1365,1364,469,495
2021-03-01,1365,1364,106,89
