instrument,level_id,year,activation_window,horizon,touches,continuation_first_rate,reversal_first_rate,cont_minus_rev_diff,median_signed_close,same_bar_reversal_rate,same_bar_blast_through_rate,mean_annual_effect,sd_annual_effect,n_years_within_1sd,n_years_with_pooled_sign,max_annual_effect,min_annual_effect,is_2020_largest_abs,one_year_gt_35pct_touches
NQ,UPPER_k2,2020,1,1,20,0.3684210526315789,0.3157894736842105,0.05263157894736842,0.4746465641128452,0.25,0.75,-0.03671052631578947,0.22556120377449543,3,3,0.3,-0.2631578947368421,False,False
NQ,UPPER_k2,2021,1,1,20,0.55,0.25,0.3,4.162828776594324,0.45,0.55,-0.03671052631578947,0.22556120377449543,3,3,0.3,-0.2631578947368421,False,False
NQ,UPPER_k2,2022,1,1,16,0.25,0.3125,-0.0625,-8.804399045221544,0.375,0.625,-0.03671052631578947,0.22556120377449543,3,3,0.3,-0.2631578947368421,False,False
NQ,UPPER_k3,2018,1,1,8,0.375,0.5,-0.125,0.8538525898025,0.875,0.125,0.0659090909090909,0.2844139577397854,4,3,0.3333333333333333,-0.3333333333333333,False,False
NQ,UPPER_k3,2019,1,1,6,0.5,0.16666666666666666,0.3333333333333333,3.293916419476318,0.8333333333333334,0.16666666666666666,0.0659090909090909,0.2844139577397854,4,3,0.3333333333333333,-0.3333333333333333,False,False
NQ,UPPER_k3,2020,1,1,12,0.45454545454545453,0.2727272727272727,0.18181818181818182,-1.1686450253855583,0.3333333333333333,0.6666666666666666,0.0659090909090909,0.2844139577397854,4,3,0.3333333333333333,-0.3333333333333333,False,False
NQ,UPPER_k3,2021,1,1,11,0.45454545454545453,0.18181818181818182,0.2727272727272727,-1.4330058095929417,0.45454545454545453,0.5454545454545454,0.0659090909090909,0.2844139577397854,4,3,0.3333333333333333,-0.3333333333333333,False,False
NQ,UPPER_k3,2022,1,1,3,0.0,0.3333333333333333,-0.3333333333333333,2.2582324391187285,0.3333333333333333,0.6666666666666666,0.0659090909090909,0.2844139577397854,4,3,0.3333333333333333,-0.3333333333333333,False,False
ES,LOWER_k0,2018,2,2,137,0.29850746268656714,0.4626865671641791,-0.16417910447761194,-0.5,0.49635036496350365,0.5036496350364964,-0.017101573562931162,0.09558715806906243,3,3,0.08208955223880597,-0.16417910447761194,False,False
ES,LOWER_k0,2019,2,2,140,0.4701492537313433,0.3880597014925373,0.08208955223880597,0.5,0.5971223021582733,0.4028776978417266,-0.017101573562931162,0.09558715806906243,3,3,0.08208955223880597,-0.16417910447761194,False,False
ES,LOWER_k0,2020,2,2,145,0.3958333333333333,0.4305555555555556,-0.034722222222222224,-0.3875000000000455,0.625,0.375,-0.017101573562931162,0.09558715806906243,3,3,0.08208955223880597,-0.16417910447761194,False,False
ES,LOWER_k0,2021,2,2,137,0.42962962962962964,0.37777777777777777,0.05185185185185185,0.1499999999996362,0.5037037037037037,0.4962962962962963,-0.017101573562931162,0.09558715806906243,3,3,0.08208955223880597,-0.16417910447761194,False,False
ES,LOWER_k0,2022,2,2,147,0.3767123287671233,0.3972602739726027,-0.02054794520547945,0.21249999999986358,0.5850340136054422,0.41496598639455784,-0.017101573562931162,0.09558715806906243,3,3,0.08208955223880597,-0.16417910447761194,False,False
ES,LOWER_k1,2018,2,2,79,0.3076923076923077,0.4230769230769231,-0.11538461538461539,-0.07477401860387545,0.5443037974683544,0.45569620253164556,-0.03848935275690059,0.09517118240125907,3,2,0.058823529411764705,-0.16279069767441862,True,False
ES,LOWER_k1,2019,2,2,74,0.39436619718309857,0.38028169014084506,0.014084507042253521,0.8354472048549724,0.581081081081081,0.4189189189189189,-0.03848935275690059,0.09517118240125907,3,2,0.058823529411764705,-0.16279069767441862,True,False
ES,LOWER_k1,2020,2,2,87,0.3372093023255814,0.5,-0.16279069767441862,-0.49899712822775655,0.5747126436781609,0.42528735632183906,-0.03848935275690059,0.09517118240125907,3,2,0.058823529411764705,-0.16279069767441862,True,False
ES,LOWER_k1,2021,2,2,78,0.4230769230769231,0.41025641025641024,0.01282051282051282,0.10646287528675202,0.5641025641025641,0.4358974358974359,-0.03848935275690059,0.09517118240125907,3,2,0.058823529411764705,-0.16279069767441862,True,False
