instrument,level_id,n_valid,n_touched,touch_rate,touch_by_30_rate,touch_by_60_rate,touch_by_120_rate
NQ,lower_N10_ema_k3,1277,841,0.658574784651527,0.5121378230227095,0.5982772122161315,0.658574784651527
NQ,lower_N10_mean_k0,1277,1103,0.8637431480031323,0.8065779169929522,0.8449490994518403,0.8637431480031323
NQ,lower_N10_mean_k1,1277,1008,0.7893500391542678,0.7000783085356304,0.7533281127642913,0.7893500391542678
NQ,lower_N10_mean_k2,1277,923,0.7227877838684417,0.6100234925606891,0.6773688332028192,0.7227877838684417
NQ,lower_N10_mean_k3,1277,844,0.6609240407204385,0.5097885669537979,0.5990602975724354,0.6609240407204385
NQ,lower_N10_median_k0,1277,1129,0.8841033672670321,0.8355520751761942,0.8692247454972593,0.8841033672670321
NQ,lower_N10_median_k1,1277,1025,0.8026624902114331,0.716523101018011,0.7697729052466719,0.8026624902114331
NQ,lower_N10_median_k2,1277,937,0.7337509788566954,0.6209866875489428,0.6867658574784652,0.7337509788566954
NQ,lower_N10_median_k3,1277,856,0.6703210649960846,0.5270164447924823,0.6115896632732968,0.6703210649960846
NQ,lower_N20_ema_k0,1267,1099,0.8674033149171271,0.8113654301499605,0.8492501973164956,0.8674033149171271
NQ,lower_N20_ema_k1,1267,987,0.7790055248618785,0.6921862667719021,0.7458563535911602,0.7790055248618785
NQ,lower_N20_ema_k2,1267,907,0.7158642462509865,0.5887924230465666,0.6606156274664562,0.7158642462509865
NQ,lower_N20_ema_k3,1267,819,0.6464088397790055,0.4956590370955012,0.5824782951854776,0.6464088397790055
NQ,lower_N20_mean_k0,1267,1100,0.8681925808997633,0.8113654301499605,0.8492501973164956,0.8681925808997633
NQ,lower_N20_mean_k1,1267,989,0.7805840568271507,0.691397000789266,0.7466456195737964,0.7805840568271507
NQ,lower_N20_mean_k2,1267,904,0.7134964483030781,0.5895816890292028,0.6614048934490924,0.7134964483030781
NQ,lower_N20_mean_k3,1267,821,0.6479873717442778,0.4925019731649566,0.5785319652722968,0.6479873717442778
NQ,lower_N20_median_k0,1267,1116,0.8808208366219415,0.8334648776637726,0.8650355169692187,0.8808208366219415
NQ,lower_N20_median_k1,1267,1007,0.7947908445146015,0.7119179163378059,0.7663772691397001,0.7947908445146015
NQ,lower_N20_median_k2,1267,923,0.728492501973165,0.6069455406471981,0.681136543014996,0.728492501973165
NQ,lower_N20_median_k3,1267,836,0.65982636148382,0.5153906866614049,0.595895816890292,0.65982636148382
NQ,lower_N5_ema_k0,1282,1111,0.8666146645865834,0.8120124804992199,0.8455538221528861,0.8666146645865834
