instrument,level_id,timing_bin,n
ES,lower_N20_mean_k3,MINUTES_2_TO_5,218
ES,lower_N20_mean_k3,MINUTES_31_TO_60,130
ES,lower_N20_mean_k3,MINUTES_61_TO_120,78
ES,lower_N20_mean_k3,MINUTES_6_TO_15,239
ES,lower_N20_median_k0,BAR_0930,666
ES,lower_N20_median_k0,MINUTES_16_TO_30,41
ES,lower_N20_median_k0,MINUTES_2_TO_5,280
ES,lower_N20_median_k0,MINUTES_31_TO_60,45
ES,lower_N20_median_k0,MINUTES_61_TO_120,17
ES,lower_N20_median_k0,MINUTES_6_TO_15,88
ES,lower_N20_median_k1,BAR_0930,263
ES,lower_N20_median_k1,MINUTES_16_TO_30,86
ES,lower_N20_median_k1,MINUTES_2_TO_5,396
ES,lower_N20_median_k1,MINUTES_31_TO_60,61
ES,lower_N20_median_k1,MINUTES_61_TO_120,40
ES,lower_N20_median_k1,MINUTES_6_TO_15,184
ES,lower_N20_median_k2,BAR_0930,109
ES,lower_N20_median_k2,MINUTES_16_TO_30,128
ES,lower_N20_median_k2,MINUTES_2_TO_5,334
ES,lower_N20_median_k2,MINUTES_31_TO_60,82
ES,lower_N20_median_k2,MINUTES_61_TO_120,54
ES,lower_N20_median_k2,MINUTES_6_TO_15,223
ES,lower_N20_median_k3,BAR_0930,52
ES,lower_N20_median_k3,MINUTES_16_TO_30,131
ES,lower_N20_median_k3,MINUTES_2_TO_5,234
ES,lower_N20_median_k3,MINUTES_31_TO_60,126
ES,lower_N20_median_k3,MINUTES_61_TO_120,70
ES,lower_N20_median_k3,MINUTES_6_TO_15,240
ES,lower_N5_ema_k0,BAR_0930,555
ES,lower_N5_ema_k0,MINUTES_16_TO_30,54
ES,lower_N5_ema_k0,MINUTES_2_TO_5,334
ES,lower_N5_ema_k0,MINUTES_31_TO_60,45
ES,lower_N5_ema_k0,MINUTES_61_TO_120,21
ES,lower_N5_ema_k0,MINUTES_6_TO_15,115
ES,lower_N5_ema_k1,BAR_0930,277
ES,lower_N5_ema_k1,MINUTES_16_TO_30,84
ES,lower_N5_ema_k1,MINUTES_2_TO_5,395
ES,lower_N5_ema_k1,MINUTES_31_TO_60,66
ES,lower_N5_ema_k1,MINUTES_61_TO_120,38
ES,lower_N5_ema_k1,MINUTES_6_TO_15,179
ES,lower_N5_ema_k2,BAR_0930,149
ES,lower_N5_ema_k2,MINUTES_16_TO_30,110
ES,lower_N5_ema_k2,MINUTES_2_TO_5,339
ES,lower_N5_ema_k2,MINUTES_31_TO_60,92
ES,lower_N5_ema_k2,MINUTES_61_TO_120,52
