instrument,level_id,n_reversal_proxy,n_blast_through_proxy,n_neutral,n_total_touch_bars,n_nonneutral,reversal_rate,blast_through_rate,neutral_rate,reversal_minus_blast_diff,p_raw,q_value,same_bar_classification
ES,upper_N20_mean_k3,429,415,0,844,844,0.5082938388625592,0.49170616113744076,0.0,0.016587677725118485,0.6545552040067775,0.8434458638541631,SAME_BAR_MIXED
ES,upper_N20_median_k0,559,541,59,1159,1100,0.4823123382226057,0.46678170836928384,0.05090595340811044,0.015530629853321829,0.6082727096261008,0.8434458638541631,SAME_BAR_MIXED
ES,upper_N20_median_k1,498,538,0,1036,1036,0.4806949806949807,0.5193050193050193,0.0,-0.03861003861003861,0.22562089120803247,0.6976497714531645,SAME_BAR_MIXED
ES,upper_N20_median_k2,469,469,0,938,938,0.5,0.5,0.0,0.0,1.0,1.0,SAME_BAR_MIXED
ES,upper_N20_median_k3,425,437,0,862,862,0.49303944315545245,0.5069605568445475,0.0,-0.013921113689095127,0.7079354428239015,0.8566635667880358,SAME_BAR_MIXED
ES,upper_N5_ema_k0,557,584,1,1142,1141,0.48774080560420313,0.51138353765324,0.0008756567425569177,-0.023642732049036778,0.4414820001300157,0.7637413888836622,SAME_BAR_MIXED
ES,upper_N5_ema_k1,506,540,0,1046,1046,0.4837476099426386,0.5162523900573613,0.0,-0.032504780114722756,0.3075621540531945,0.734731812460409,SAME_BAR_MIXED
ES,upper_N5_ema_k2,489,477,0,966,966,0.5062111801242236,0.4937888198757764,0.0,0.012422360248447204,0.7234194885012992,0.8566635667880358,SAME_BAR_MIXED
ES,upper_N5_ema_k3,449,441,0,890,890,0.5044943820224719,0.49550561797752807,0.0,0.008988764044943821,0.8145038890686441,0.898042749485941,SAME_BAR_MIXED
ES,upper_N5_mean_k0,544,577,25,1146,1121,0.47469458987783597,0.5034904013961605,0.02181500872600349,-0.028795811518324606,0.33919851797200923,0.757529536087832,SAME_BAR_MIXED
ES,upper_N5_mean_k1,512,536,4,1052,1048,0.4866920152091255,0.5095057034220533,0.0038022813688212928,-0.022813688212927757,0.47742864963995174,0.7757764805789217,SAME_BAR_MIXED
ES,upper_N5_mean_k2,484,480,2,966,964,0.5010351966873706,0.4968944099378882,0.002070393374741201,0.004140786749482402,0.9230319796112513,0.9680579298361904,SAME_BAR_MIXED
ES,upper_N5_mean_k3,449,435,1,885,884,0.5073446327683616,0.4915254237288136,0.0011299435028248588,0.015819209039548022,0.6619634741079502,0.8434458638541631,SAME_BAR_MIXED
ES,upper_N5_median_k0,558,520,96,1174,1078,0.4752981260647359,0.44293015332197616,0.0817717206132879,0.03236797274275979,0.2597672173608629,0.6976497714531645,SAME_BAR_MIXED
ES,upper_N5_median_k1,538,525,2,1065,1063,0.5051643192488263,0.49295774647887325,0.0018779342723004694,0.012206572769953052,0.7128496577243224,0.8566635667880358,SAME_BAR_MIXED
ES,upper_N5_median_k2,476,504,4,984,980,0.483739837398374,0.5121951219512195,0.0040650406504065045,-0.028455284552845527,0.3884319746106757,0.757529536087832,SAME_BAR_MIXED
ES,upper_N5_median_k3,443,454,0,897,897,0.4938684503901895,0.5061315496098104,0.0,-0.012263099219620958,0.7384831896299877,0.8566635667880358,SAME_BAR_MIXED
NQ,ON_VWAP_0,512,459,0,971,971,0.5272914521112255,0.4727085478887745,0.0,0.05458290422245108,0.0951143824444519,0.3718107677374029,SAME_BAR_MIXED
NQ,ON_VWAP_m1,440,454,0,894,894,0.49217002237136465,0.5078299776286354,0.0,-0.015659955257270694,0.6637423712527887,0.8809057314124004,SAME_BAR_MIXED
NQ,ON_VWAP_m2,350,368,0,718,718,0.48746518105849584,0.5125348189415042,0.0,-0.025069637883008356,0.5258261909835451,0.7693657699826297,SAME_BAR_MIXED
NQ,ON_VWAP_m3,253,271,0,524,524,0.48282442748091603,0.517175572519084,0.0,-0.03435114503816794,0.45772682258630754,0.7627050449256807,SAME_BAR_MIXED
NQ,ON_VWAP_p1,471,458,0,929,929,0.5069967707212056,0.4930032292787944,0.0,0.013993541442411194,0.6938192794360287,0.8809057314124004,SAME_BAR_MIXED
NQ,ON_VWAP_p2,365,366,0,731,731,0.4993160054719562,0.5006839945280438,0.0,-0.0013679890560875513,1.0,1.0,SAME_BAR_MIXED
NQ,ON_VWAP_p3,295,233,0,528,528,0.5587121212121212,0.4412878787878788,0.0,0.11742424242424243,0.007878572833028692,0.11292621060674457,SAME_BAR_MIXED
NQ,PR_VWAP_0,249,251,0,500,500,0.498,0.502,0.0,-0.004,0.964335354446651,1.0,SAME_BAR_MIXED
NQ,PR_VWAP_m1,207,237,0,444,444,0.46621621621621623,0.5337837837837838,0.0,-0.06756756756756757,0.1686638799300801,0.4835031224662297,SAME_BAR_MIXED
NQ,PR_VWAP_m2,196,180,0,376,376,0.5212765957446809,0.4787234042553192,0.0,0.0425531914893617,0.4392286423129139,0.755473264778212,SAME_BAR_MIXED
NQ,PR_VWAP_m3,134,149,0,283,283,0.4734982332155477,0.5265017667844523,0.0,-0.053003533568904596,0.4053315878032656,0.7408755270887492,SAME_BAR_MIXED
NQ,PR_VWAP_p1,284,243,0,527,527,0.538899430740038,0.46110056925996207,0.0,0.0777988614800759,0.08133554243920882,0.34974283248859794,SAME_BAR_MIXED
NQ,PR_VWAP_p2,249,218,0,467,467,0.5331905781584583,0.4668094218415418,0.0,0.06638115631691649,0.16499584938794165,0.4835031224662297,SAME_BAR_MIXED
NQ,PR_VWAP_p3,157,165,0,322,322,0.48757763975155277,0.5124223602484472,0.0,-0.024844720496894408,0.696530113209805,0.8809057314124004,SAME_BAR_MIXED
NQ,lower_N10_ema_k0,593,514,0,1107,1107,0.5356820234869015,0.4643179765130985,0.0,0.07136404697380307,0.019020151440996478,0.14733979811776338,SAME_BAR_MIXED
NQ,lower_N10_ema_k1,518,490,0,1008,1008,0.5138888888888888,0.4861111111111111,0.0,0.027777777777777776,0.3951024546501622,0.7408755270887492,SAME_BAR_MIXED
