instrument,level_id,year,n_valid,n_touched,touch_rate
ES,lower_N20_mean_k1,2020,259,202,0.7799227799227799
ES,lower_N20_mean_k1,2021,258,191,0.7403100775193798
ES,lower_N20_mean_k1,2022,258,220,0.8527131782945736
ES,lower_N20_mean_k2,2018,236,174,0.7372881355932204
ES,lower_N20_mean_k2,2019,258,179,0.6937984496124031
ES,lower_N20_mean_k2,2020,259,185,0.7142857142857143
ES,lower_N20_mean_k2,2021,258,170,0.6589147286821705
ES,lower_N20_mean_k2,2022,258,210,0.813953488372093
ES,lower_N20_mean_k3,2018,236,161,0.6822033898305084
ES,lower_N20_mean_k3,2019,258,163,0.6317829457364341
ES,lower_N20_mean_k3,2020,259,159,0.6138996138996139
ES,lower_N20_mean_k3,2021,258,155,0.6007751937984496
ES,lower_N20_mean_k3,2022,258,202,0.7829457364341085
ES,lower_N20_median_k0,2018,236,220,0.9322033898305084
ES,lower_N20_median_k0,2019,258,230,0.8914728682170543
ES,lower_N20_median_k0,2020,259,228,0.8803088803088803
ES,lower_N20_median_k0,2021,258,222,0.8604651162790697
ES,lower_N20_median_k0,2022,258,237,0.9186046511627907
ES,lower_N20_median_k1,2018,236,199,0.8432203389830508
ES,lower_N20_median_k1,2019,258,204,0.7906976744186046
ES,lower_N20_median_k1,2020,259,209,0.806949806949807
ES,lower_N20_median_k1,2021,258,196,0.7596899224806202
ES,lower_N20_median_k1,2022,258,222,0.8604651162790697
ES,lower_N20_median_k2,2018,236,177,0.75
ES,lower_N20_median_k2,2019,258,183,0.7093023255813954
ES,lower_N20_median_k2,2020,259,187,0.722007722007722
ES,lower_N20_median_k2,2021,258,172,0.6666666666666666
ES,lower_N20_median_k2,2022,258,211,0.8178294573643411
ES,lower_N20_median_k3,2018,236,165,0.6991525423728814
ES,lower_N20_median_k3,2019,258,166,0.6434108527131783
ES,lower_N20_median_k3,2020,259,162,0.6254826254826255
ES,lower_N20_median_k3,2021,258,156,0.6046511627906976
ES,lower_N20_median_k3,2022,258,204,0.7906976744186046
