instrument,side,freshness,activation_window,horizon_min,year,n_observations,rev_minus_brk_first_rate,median_signed_close_atr,same_bar_reversal_rate,same_bar_breakthrough_rate,sign
ES,lower,PRETOUCHED,WITHIN_60MIN,1,2022,87,0.0,0.007751937984496124,0.42528735632183906,0.26436781609195403,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,3,2018,78,-0.01282051282051282,0.0,0.47435897435897434,0.1794871794871795,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,3,2019,86,0.03488372093023256,0.030365296803652967,0.5581395348837209,0.11627906976744186,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,3,2020,74,0.04054054054054054,0.0,0.581081081081081,0.14864864864864866,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,3,2021,86,0.011627906976744186,0.0,0.4883720930232558,0.16279069767441862,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,3,2022,87,-0.011494252873563218,0.034782608695652174,0.42528735632183906,0.26436781609195403,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,5,2018,78,0.0,0.0,0.47435897435897434,0.1794871794871795,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,5,2019,86,0.011627906976744186,0.07671957671957672,0.5581395348837209,0.11627906976744186,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,5,2020,74,0.05405405405405406,0.04399808703969393,0.581081081081081,0.14864864864864866,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,5,2021,86,0.06976744186046512,0.07060949769412939,0.4883720930232558,0.16279069767441862,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,5,2022,87,0.034482758620689655,0.02,0.42528735632183906,0.26436781609195403,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,10,2018,78,0.01282051282051282,0.0,0.47435897435897434,0.1794871794871795,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,10,2019,86,0.023255813953488372,0.03337041156840934,0.5581395348837209,0.11627906976744186,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,10,2020,74,0.12162162162162163,0.027046783625730993,0.581081081081081,0.14864864864864866,1.0
ES,lower,PRETOUCHED,WITHIN_60MIN,10,2021,86,0.11627906976744186,0.0,0.4883720930232558,0.16279069767441862,0.0
ES,lower,PRETOUCHED,WITHIN_60MIN,10,2022,87,0.05747126436781609,0.025210084033613446,0.42528735632183906,0.26436781609195403,1.0
