instrument,side,freshness,activation_window,horizon_min,n_observations,n_nontied,rev_minus_brk_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,upper,PRETOUCHED,WITHIN_10AM_CANDLE,60,130,104,0.07692307692307693,-0.06125,0.37758392329809853,False,0.6280603872681243,5,3,7.6923076923076925,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_5MIN,5,219,34,0.045662100456621,0.0196078431372549,0.12144948495551944,False,0.30518952358937296,5,4,4.5662100456621,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_5MIN,10,219,55,0.0867579908675799,0.0,0.014453833533827728,False,0.0837325528856227,5,3,8.67579908675799,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_5MIN,15,219,86,0.1461187214611872,0.0,0.0007317100653124087,False,0.015365911371560582,5,3,14.61187214611872,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_5MIN,30,219,134,0.1187214611872146,0.0,0.030414804699519817,False,0.1261495438535412,5,4,11.87214611872146,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_5MIN,60,219,177,0.0684931506849315,-0.05,0.29263710818802924,False,0.5230110018679671,5,2,6.8493150684931505,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10MIN,3,271,22,0.02214022140221402,0.02912621359223301,0.28627872467041016,False,0.5171486639207409,5,3,2.214022140221402,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10MIN,5,271,38,0.05166051660516605,0.0196078431372549,0.03355243967962451,False,0.1310886015389981,5,4,5.166051660516605,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10MIN,10,271,68,0.0959409594095941,0.0,0.0021862431776861714,False,0.027551276684508994,5,4,9.59409594095941,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10MIN,15,271,106,0.13284132841328414,0.0,0.0006060762772090588,False,0.01470152401901841,5,2,13.284132841328415,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10MIN,30,271,166,0.0959409594095941,0.0,0.05200575499696481,False,0.17830544570387935,5,4,9.59409594095941,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_10MIN,60,271,221,0.06273062730627306,-0.02564102564102564,0.28177589429577976,False,0.5145472852357718,5,3,6.273062730627306,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_15MIN,3,301,24,0.019933554817275746,0.027777777777777776,0.30745625495910645,False,0.5325015549807205,5,3,1.9933554817275747,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_15MIN,5,301,41,0.04983388704318937,0.012987012987012988,0.027533155829587486,False,0.12172553103607099,5,4,4.983388704318937,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_15MIN,10,301,72,0.09302325581395349,0.0,0.0012935849626762883,False,0.022792454260302124,5,4,9.30232558139535,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_15MIN,15,301,113,0.12956810631229235,0.0,0.00030960246353573076,False,0.010402642774800554,5,2,12.956810631229235,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_15MIN,30,301,182,0.09302325581395349,0.0,0.04505458205192091,False,0.16454716923310245,5,4,9.30232558139535,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_15MIN,60,301,244,0.053156146179401995,-0.015151515151515152,0.3369297790687433,False,0.5717596250863523,5,3,5.3156146179401995,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_30MIN,3,382,24,0.015706806282722512,0.02361111111111111,0.30745625495910645,False,0.5325015549807205,5,3,1.5706806282722512,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_30MIN,5,382,43,0.03926701570680628,0.019237883832778392,0.03153949735315109,False,0.12615798941260437,5,3,3.926701570680628,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_30MIN,10,382,83,0.09162303664921466,0.0,0.00015455941078329168,False,0.007885743439530555,5,3,9.162303664921465,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_30MIN,15,382,135,0.13350785340314136,0.0,1.3469767191590464e-05,True,0.001131460444093599,5,3,13.350785340314136,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_30MIN,30,382,226,0.11518324607329843,0.0,0.004130889789228825,False,0.03524248715731683,5,3,11.518324607329843,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_30MIN,60,382,304,0.08376963350785341,0.0,0.07523524751943393,False,0.2384815393068849,5,2,8.37696335078534,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_60MIN,3,451,25,0.015521064301552107,0.024390243902439025,0.2295229434967041,False,0.4432167184763941,5,3,1.5521064301552108,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_60MIN,5,451,44,0.03547671840354767,0.018867924528301886,0.022628841205914796,False,0.10560125896093571,5,3,3.5476718403547673,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_60MIN,10,451,90,0.07982261640798226,0.0,0.00018775579617929893,False,0.007885743439530555,5,3,7.982261640798225,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_60MIN,15,451,147,0.12195121951219512,0.0,6.671865694009476e-06,False,0.0011208734365935919,5,3,12.195121951219512,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_60MIN,30,451,251,0.1130820399113082,0.0,0.001548188600119571,False,0.02364506225637163,5,4,11.30820399113082,MIXED_OR_NULL
ES,upper,PRETOUCHED,WITHIN_60MIN,60,451,357,0.07760532150776053,0.0,0.07179548459927125,False,0.23195464255149173,5,2,7.760532150776053,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10AM_CANDLE,15,60,20,0.0,0.0,1.0,False,1.0,4,2,0.0,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10AM_CANDLE,30,60,32,0.03333333333333333,-0.012987012987012988,0.860050065908581,False,1.0,4,3,3.3333333333333335,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10AM_CANDLE,60,60,47,0.05,-0.08838383838383838,0.7708669945730263,False,0.9227061170212766,4,4,5.0,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_5MIN,10,91,22,0.04395604395604396,0.0,0.5234670639038086,False,0.7647171020507812,5,3,4.395604395604396,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_5MIN,15,91,33,0.054945054945054944,0.0,0.48685024166479707,False,0.7483552631578947,5,3,5.4945054945054945,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_5MIN,30,91,51,0.054945054945054944,0.0,0.5758493477318467,False,0.8129637850331953,5,2,5.4945054945054945,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_5MIN,60,91,70,0.04395604395604396,-0.041237113402061855,0.7202027723528612,False,0.9041666666666667,5,4,4.395604395604396,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10MIN,10,107,27,0.06542056074766354,0.016666666666666666,0.24778856337070465,False,0.47191011235955055,5,3,6.5420560747663545,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10MIN,15,107,40,0.09345794392523364,0.0,0.1538599441628321,False,0.3401114555178394,5,3,9.345794392523365,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10MIN,30,107,62,0.07476635514018691,0.009174311926605505,0.37415171240479483,False,0.6280603872681243,5,3,7.476635514018691,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_10MIN,60,107,82,0.056074766355140186,-0.041666666666666664,0.581114454176647,False,0.8135602358473057,5,4,5.607476635514018,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_15MIN,10,120,31,0.075,0.013383838383838383,0.14961278438568115,False,0.3401114555178394,5,3,7.5,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_15MIN,15,120,44,0.1,0.007462686567164179,0.09614175442061423,False,0.28369140625,5,2,10.0,MIXED_OR_NULL
