instrument,level_id,n_mutually_eligible,n_real_touched,n_synth_touched,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_both_touched,n_neither_touched,n_discordant,paired_touch_rate_diff,diff_ci_lo,diff_ci_hi,discordant_odds_ratio,or_ci_lo,or_ci_hi,p_raw,confirmatory_eligible,status,p_bonferroni,bonferroni_alpha,bonferroni_survivor
NQ,mult_U_2.0,1224,877,791,0.7165032679738562,0.6462418300653595,86,0,791,347,86,0.0702614379084967,0.0559427144573479,0.08458016135964556,inf,10.73418387489467,2788.1952041084924,2.5849394142282115e-26,True,tested,1.9645539548134407e-24,0.0006578947368421052,True
NQ,overnight_high,1224,513,834,0.41911764705882354,0.6813725490196079,9,330,504,381,339,-0.2622549019607843,-0.28781650881387727,-0.23669329510769138,0.02727272727272727,0.014065214703943753,0.052882353277124663,2.6873198957486185e-85,True,tested,2.04236312076895e-83,0.0006578947368421052,True
NQ,overnight_low,1224,458,843,0.3741830065359477,0.6887254901960784,2,387,456,379,389,-0.3145424836601307,-0.3407521768692212,-0.2883327904510402,0.00516795865633075,0.0012878470591304258,0.02073832951218403,1.2032382250713493e-112,True,tested,9.144610510542255e-111,0.0006578947368421052,True
NQ,overnight_mid,1224,750,937,0.6127450980392157,0.7655228758169934,129,316,621,158,445,-0.15277777777777768,-0.18545506140924417,-0.12010049414631141,0.40822784810126583,0.33263330187224455,0.501002079549437,3.468003670277035e-19,True,tested,2.6356827894105463e-17,0.0006578947368421052,True
NQ,overnight_open,1224,548,877,0.4477124183006536,0.7165032679738562,106,435,442,241,541,-0.2687908496732026,-0.3028564842952539,-0.23472521505115126,0.24367816091954023,0.19706721184862427,0.30131367644629237,2.7163272183408425e-48,True,tested,2.0644086859390405e-46,0.0006578947368421052,True
NQ,prior_close,1183,415,836,0.3508030431107354,0.7066779374471682,105,526,310,242,631,-0.3558748943364328,-0.3922181314561209,-0.31953165721674476,0.19961977186311788,0.16188962912105473,0.24614333564805696,2.7034969028184612e-68,True,tested,2.0546576461420305e-66,0.0006578947368421052,True
NQ,prior_high,1183,291,809,0.2459847844463229,0.68385460693153,71,589,220,303,660,-0.4378698224852071,-0.4723529974389819,-0.40338664753143233,0.12054329371816638,0.09423379067738645,0.15419825049987199,1.729876564515012e-102,True,tested,1.314706189031409e-100,0.0006578947368421052,True
NQ,prior_low,1183,218,809,0.18427726120033813,0.68385460693153,25,616,193,349,641,-0.49957734573119184,-0.5303845500139304,-0.4687701414484534,0.040584415584415584,0.027207936264299973,0.06053729221976082,1.3603198669084585e-148,True,tested,1.0338430988504285e-146,0.0006578947368421052,True
NQ,prior_rth_mid,1183,320,817,0.2704987320371936,0.6906170752324599,65,562,255,301,627,-0.42011834319526625,-0.45399994666753324,-0.38623673972299927,0.11565836298932385,0.08946598038625801,0.1495189218473582,1.0509978918391213e-99,True,tested,7.987583977977322e-98,0.0006578947368421052,True
NQ,prior_rth_vwap,1183,328,820,0.2772612003381234,0.6931530008453085,66,558,262,297,624,-0.4158918005071851,-0.44982117266976246,-0.38196242834460775,0.11827956989247312,0.09164499553548146,0.15265488936089283,5.140507695616274e-98,True,tested,3.906785848668368e-96,0.0006578947368421052,True
