instrument,level_id,arm,horizon,label_tau1.0,n
ES,mult_D_2.0,SYNTHETIC,3,CONTINUATION,263
ES,mult_D_2.0,SYNTHETIC,3,INCONCLUSIVE,259
ES,mult_D_2.0,SYNTHETIC,3,REJECTION,321
ES,mult_D_2.0,SYNTHETIC,5,CONTINUATION,281
ES,mult_D_2.0,SYNTHETIC,5,INCONCLUSIVE,246
ES,mult_D_2.0,SYNTHETIC,5,REJECTION,316
ES,mult_D_2.0,SYNTHETIC,10,CONTINUATION,329
ES,mult_D_2.0,SYNTHETIC,10,INCONCLUSIVE,165
ES,mult_D_2.0,SYNTHETIC,10,REJECTION,349
ES,mult_D_2.0,SYNTHETIC,15,CONTINUATION,339
ES,mult_D_2.0,SYNTHETIC,15,INCONCLUSIVE,128
ES,mult_D_2.0,SYNTHETIC,15,REJECTION,376
ES,mult_U_0.5,REAL,1,CONTINUATION,323
ES,mult_U_0.5,REAL,1,INCONCLUSIVE,483
ES,mult_U_0.5,REAL,1,REJECTION,348
ES,mult_U_0.5,REAL,3,CONTINUATION,389
ES,mult_U_0.5,REAL,3,INCONCLUSIVE,349
ES,mult_U_0.5,REAL,3,REJECTION,416
ES,mult_U_0.5,REAL,5,CONTINUATION,417
ES,mult_U_0.5,REAL,5,INCONCLUSIVE,291
ES,mult_U_0.5,REAL,5,REJECTION,446
ES,mult_U_0.5,REAL,10,CONTINUATION,442
ES,mult_U_0.5,REAL,10,INCONCLUSIVE,244
ES,mult_U_0.5,REAL,10,REJECTION,468
ES,mult_U_0.5,REAL,15,CONTINUATION,476
ES,mult_U_0.5,REAL,15,INCONCLUSIVE,210
ES,mult_U_0.5,REAL,15,REJECTION,468
ES,mult_U_0.5,SYNTHETIC,1,CONTINUATION,298
ES,mult_U_0.5,SYNTHETIC,1,INCONCLUSIVE,503
ES,mult_U_0.5,SYNTHETIC,1,REJECTION,294
ES,mult_U_0.5,SYNTHETIC,3,CONTINUATION,351
ES,mult_U_0.5,SYNTHETIC,3,INCONCLUSIVE,361
ES,mult_U_0.5,SYNTHETIC,3,REJECTION,383
ES,mult_U_0.5,SYNTHETIC,5,CONTINUATION,390
ES,mult_U_0.5,SYNTHETIC,5,INCONCLUSIVE,297
ES,mult_U_0.5,SYNTHETIC,5,REJECTION,408
ES,mult_U_0.5,SYNTHETIC,10,CONTINUATION,409
ES,mult_U_0.5,SYNTHETIC,10,INCONCLUSIVE,252
ES,mult_U_0.5,SYNTHETIC,10,REJECTION,434
ES,mult_U_0.5,SYNTHETIC,15,CONTINUATION,446
ES,mult_U_0.5,SYNTHETIC,15,INCONCLUSIVE,228
ES,mult_U_0.5,SYNTHETIC,15,REJECTION,421
ES,mult_U_1.0,REAL,1,CONTINUATION,278
ES,mult_U_1.0,REAL,1,INCONCLUSIVE,465
ES,mult_U_1.0,REAL,1,REJECTION,312
ES,mult_U_1.0,REAL,3,CONTINUATION,339
ES,mult_U_1.0,REAL,3,INCONCLUSIVE,321
ES,mult_U_1.0,REAL,3,REJECTION,395
ES,mult_U_1.0,REAL,5,CONTINUATION,378
ES,mult_U_1.0,REAL,5,INCONCLUSIVE,275
ES,mult_U_1.0,REAL,5,REJECTION,402
ES,mult_U_1.0,REAL,10,CONTINUATION,393
ES,mult_U_1.0,REAL,10,INCONCLUSIVE,230
ES,mult_U_1.0,REAL,10,REJECTION,432
ES,mult_U_1.0,REAL,15,CONTINUATION,438
ES,mult_U_1.0,REAL,15,INCONCLUSIVE,185
ES,mult_U_1.0,REAL,15,REJECTION,432
ES,mult_U_1.0,SYNTHETIC,1,CONTINUATION,240
ES,mult_U_1.0,SYNTHETIC,1,INCONCLUSIVE,495
ES,mult_U_1.0,SYNTHETIC,1,REJECTION,260
ES,mult_U_1.0,SYNTHETIC,3,CONTINUATION,333
ES,mult_U_1.0,SYNTHETIC,3,INCONCLUSIVE,316
ES,mult_U_1.0,SYNTHETIC,3,REJECTION,346
ES,mult_U_1.0,SYNTHETIC,5,CONTINUATION,352
ES,mult_U_1.0,SYNTHETIC,5,INCONCLUSIVE,269
ES,mult_U_1.0,SYNTHETIC,5,REJECTION,374
ES,mult_U_1.0,SYNTHETIC,10,CONTINUATION,376
ES,mult_U_1.0,SYNTHETIC,10,INCONCLUSIVE,242
ES,mult_U_1.0,SYNTHETIC,10,REJECTION,377
ES,mult_U_1.0,SYNTHETIC,15,CONTINUATION,406
ES,mult_U_1.0,SYNTHETIC,15,INCONCLUSIVE,186
ES,mult_U_1.0,SYNTHETIC,15,REJECTION,403
ES,mult_U_1.5,REAL,1,CONTINUATION,227
ES,mult_U_1.5,REAL,1,INCONCLUSIVE,486
ES,mult_U_1.5,REAL,1,REJECTION,237
ES,mult_U_1.5,REAL,3,CONTINUATION,305
ES,mult_U_1.5,REAL,3,INCONCLUSIVE,319
ES,mult_U_1.5,REAL,3,REJECTION,326
ES,mult_U_1.5,REAL,5,CONTINUATION,338
ES,mult_U_1.5,REAL,5,INCONCLUSIVE,260
ES,mult_U_1.5,REAL,5,REJECTION,352
ES,mult_U_1.5,REAL,10,CONTINUATION,361
ES,mult_U_1.5,REAL,10,INCONCLUSIVE,214
