instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,vwap_on_j-2,directional_close_recross,5,385,850,tested,0.11335966933811079,0.34805194805194806,0.3023529411764706,0.7249213668293458
ES,vwap_on_j-2,directional_close_recross,10,385,850,tested,0.2961315231322587,0.4961038961038961,0.46352941176470586,0.8037855627875593
ES,vwap_on_j-2,directional_close_recross,15,385,850,tested,0.710803030493497,0.5662337662337662,0.5541176470588235,0.8727319552796586
ES,vwap_on_j-3,directional_close_recross,1,213,845,tested,1.0,0.0,0.0,1.0
ES,vwap_on_j-3,directional_close_recross,3,213,845,tested,0.9220151082257189,0.19248826291079812,0.1881656804733728,1.0
ES,vwap_on_j-3,directional_close_recross,5,213,845,tested,0.45378708492053654,0.28169014084507044,0.31124260355029587,0.7351208548379837
ES,vwap_on_j-3,directional_close_recross,10,213,845,tested,0.5382605299164498,0.43661971830985913,0.46272189349112425,0.912851286548062
ES,vwap_on_j-3,directional_close_recross,15,213,845,tested,0.12411028266677687,0.48826291079812206,0.5491124260355029,0.6123861650904062
NQ,mad_D_1.0,directional_close_recross,1,1057,1057,tested,1.0,0.0,0.0,1.0
NQ,mad_D_1.0,directional_close_recross,3,1057,1057,tested,0.773348317951804,0.1693472090823084,0.1750236518448439,1.0
NQ,mad_D_1.0,directional_close_recross,5,1057,1057,tested,1.0,0.2781456953642384,0.2771996215704825,1.0
NQ,mad_D_1.0,directional_close_recross,10,1057,1057,tested,0.627219560521772,0.4087038789025544,0.42005676442762535,1.0
NQ,mad_D_1.0,directional_close_recross,15,1057,1057,tested,1.0,0.5033112582781457,0.5023651844843898,1.0
NQ,mad_D_1.5,directional_close_recross,1,985,973,tested,1.0,0.0,0.0,1.0
NQ,mad_D_1.5,directional_close_recross,3,985,973,tested,0.9537843899524592,0.18781725888324874,0.18602261048304214,1.0
NQ,mad_D_1.5,directional_close_recross,5,985,973,tested,1.0,0.283248730964467,0.28263103802672146,1.0
NQ,mad_D_1.5,directional_close_recross,10,985,973,tested,0.5538088751917045,0.4294416243654822,0.44295991778006166,1.0
NQ,mad_D_1.5,directional_close_recross,15,985,973,tested,0.6512515740772433,0.5137055837563452,0.5241521068859198,0.9904107118936755
NQ,mad_D_2.0,directional_close_recross,1,910,911,tested,1.0,0.0,0.0,1.0
NQ,mad_D_2.0,directional_close_recross,3,910,911,tested,0.5822965929733277,0.1835164835164835,0.1734357848518112,1.0
NQ,mad_D_2.0,directional_close_recross,5,910,911,tested,0.6750674878697569,0.2802197802197802,0.2711306256860593,1.0
NQ,mad_D_2.0,directional_close_recross,10,910,911,tested,0.6359447263144717,0.4340659340659341,0.4226125137211855,1.0
